ID,Timestamp,Sector,Tipo_Emergencia,Latitud,Longitud,Confiabilidad_Usuario,Prioridad_IA,Nivel_Prioridad,Estado_IA,Tiempo_Respuesta_Min,Estado_Reporte
#1015,2026-07-14 12:47:25,Collique,Incendio,-11.910614,-77.055848,100,59,Media,Validado,15.3,Atendido
#1016,2026-07-14 17:33:25,Comas Norte,Sospecha,-11.893519,-77.051259,99,86,Alta,Descartado,0.0,Atendido
#1017,2026-07-13 22:36:25,Comas Sur,Incendio,-11.907528,-77.034115,50,56,Media,Validado,11.5,Atendido
#1018,2026-07-14 06:25:25,Comas Norte,Emergencia Médica,-11.880884,-77.018875,28,37,Baja,Validado,7.0,En Proceso
#1019,2026-07-14 02:52:25,La Balanza,Incendio,-11.891598,-77.034806,89,61,Media,Validado,2.8,Atendido
#1020,2026-07-14 14:48:25,Comas Sur,Robo,-11.916685,-77.01997,74,45,Media,Validado,16.1,Pendiente
#1021,2026-07-13 20:38:25,Comas Norte,Emergencia Médica,-11.923269,-77.010819,32,39,Baja,Validado,3.9,Pendiente
#1022,2026-07-14 00:57:25,La Balanza,Incendio,-11.913732,-77.04831,90,66,Media,Validado,12.0,En Proceso
#1023,2026-07-14 07:16:25,Collique,Emergencia Médica,-11.940073,-77.030052,32,72,Media,Validado,12.1,Atendido
#1024,2026-07-14 13:45:25,Collique,Accidente de Tránsito,-11.936989,-77.046985,31,76,Media,Validado,21.1,Atendido
#1025,2026-07-13 20:36:25,San Agustín,Accidente de Tránsito,-11.919832,-77.02704,46,41,Media,Validado,9.0,Pendiente
#1026,2026-07-13 20:14:25,Comas Norte,Accidente de Tránsito,-11.938729,-77.01738,63,69,Media,Validado,11.5,Pendiente
#1027,2026-07-14 00:08:25,San Agustín,Emergencia Médica,-11.930401,-77.045054,73,32,Baja,Validado,15.8,En Proceso
#1028,2026-07-14 15:41:25,Comas Sur,Robo,-11.917661,-77.044577,71,87,Alta,Validado,5.2,Atendido
#1029,2026-07-14 16:59:25,Comas Sur,Emergencia Médica,-11.919648,-77.029272,63,23,Baja,Validado,20.6,Atendido
#1030,2026-07-14 16:45:25,Comas Sur,Incendio,-11.940251,-77.059563,51,71,Media,Validado,5.9,En Proceso
#1031,2026-07-14 04:49:25,San Agustín,Emergencia Médica,-11.908773,-77.026627,59,29,Baja,Validado,20.7,Atendido
#1032,2026-07-14 13:13:25,San Agustín,Accidente de Tránsito,-11.894638,-77.011364,20,54,Media,Validado,14.7,Atendido
#1033,2026-07-14 13:20:25,La Balanza,Accidente de Tránsito,-11.890218,-77.04698,93,30,Baja,Validado,23.2,Pendiente
#1034,2026-07-14 15:48:25,Collique,Robo,-11.946718,-77.059822,91,93,Alta,Validado,6.0,Pendiente
#1035,2026-07-14 06:09:25,Comas Norte,Emergencia Médica,-11.946442,-77.015508,34,87,Alta,Validado,6.9,Pendiente
#1036,2026-07-14 04:32:25,Comas Sur,Incendio,-11.915533,-77.010724,94,95,Alta,Validado,11.6,Pendiente
#1037,2026-07-14 18:09:25,San Agustín,Robo,-11.947136,-77.025267,58,30,Baja,Validado,18.9,En Proceso
#1038,2026-07-14 05:30:25,San Agustín,Accidente de Tránsito,-11.915883,-77.034162,53,74,Media,Validado,18.8,Pendiente
#1039,2026-07-14 12:00:25,Comas Norte,Robo,-11.940775,-77.044958,100,47,Media,Validado,13.9,En Proceso
#1040,2026-07-14 09:07:25,Comas Norte,Emergencia Médica,-11.947657,-77.052196,26,34,Baja,Validado,23.9,En Proceso
#1041,2026-07-14 09:58:25,La Balanza,Robo,-11.9161,-77.059001,92,90,Alta,Validado,1.5,En Proceso
#1042,2026-07-14 08:49:25,Comas Sur,Emergencia Médica,-11.891997,-77.058131,12,28,Baja,Validado,20.6,Pendiente
#1043,2026-07-14 03:09:25,Collique,Accidente de Tránsito,-11.902026,-77.02104,68,16,Baja,Descartado,0.0,Atendido
#1044,2026-07-14 01:50:25,Collique,Robo,-11.942185,-77.021154,46,32,Baja,Validado,21.4,Pendiente
#1045,2026-07-14 14:33:25,La Balanza,Robo,-11.882662,-77.045587,71,86,Alta,Validado,4.0,Pendiente
#1046,2026-07-14 09:58:25,Comas Sur,Incendio,-11.912864,-77.041313,32,39,Baja,Validado,14.1,En Proceso
#1047,2026-07-13 20:53:25,Comas Norte,Accidente de Tránsito,-11.881687,-77.027791,28,50,Media,Validado,11.3,En Proceso
#1048,2026-07-14 05:39:25,Comas Norte,Sospecha,-11.885723,-77.031537,55,13,Baja,Validado,4.0,Atendido
#1049,2026-07-14 15:37:25,Collique,Sospecha,-11.946789,-77.050154,60,45,Media,Validado,21.0,Pendiente
#1050,2026-07-14 03:36:25,Comas Norte,Emergencia Médica,-11.89682,-77.030245,97,44,Media,Descartado,0.0,Atendido
#1051,2026-07-14 10:41:25,Comas Norte,Accidente de Tránsito,-11.943909,-77.02268,42,80,Alta,Validado,6.6,Pendiente
#1052,2026-07-14 09:54:25,San Agustín,Incendio,-11.947953,-77.050057,80,38,Baja,Validado,6.4,Pendiente
#1053,2026-07-14 07:04:25,Comas Sur,Emergencia Médica,-11.917031,-77.058746,66,59,Media,Validado,23.0,Pendiente
#1054,2026-07-14 16:28:25,La Balanza,Accidente de Tránsito,-11.923633,-77.03213,88,44,Media,Validado,21.0,En Proceso
#1055,2026-07-14 12:38:25,San Agustín,Emergencia Médica,-11.925441,-77.052163,38,45,Media,Validado,9.9,Pendiente
#1056,2026-07-13 23:33:25,Comas Sur,Sospecha,-11.90078,-77.033537,10,33,Baja,Validado,24.2,En Proceso
#1057,2026-07-14 06:24:25,San Agustín,Robo,-11.945291,-77.039792,78,86,Alta,Validado,9.1,Atendido
#1058,2026-07-13 20:55:25,Collique,Incendio,-11.899334,-77.049121,72,24,Baja,Validado,3.9,En Proceso
#1059,2026-07-14 01:17:25,La Balanza,Accidente de Tránsito,-11.900021,-77.012956,63,78,Media,Validado,1.9,Atendido
#1060,2026-07-14 01:49:25,Comas Sur,Sospecha,-11.94419,-77.040221,88,58,Media,Validado,21.9,Pendiente
#1061,2026-07-14 18:20:25,Collique,Sospecha,-11.915815,-77.042358,61,10,Baja,Validado,7.0,Pendiente
#1062,2026-07-14 19:44:25,Collique,Incendio,-11.926876,-77.041425,26,68,Media,Validado,18.0,En Proceso
#1063,2026-07-14 18:28:25,La Balanza,Accidente de Tránsito,-11.885354,-77.01432,55,98,Alta,Validado,4.5,En Proceso
#1064,2026-07-13 22:05:25,Collique,Accidente de Tránsito,-11.944697,-77.028525,68,65,Media,Validado,18.2,Pendiente
#1065,2026-07-14 12:04:25,Comas Sur,Accidente de Tránsito,-11.928896,-77.018279,48,66,Media,Descartado,0.0,Atendido
#1066,2026-07-14 07:28:25,Comas Norte,Sospecha,-11.927745,-77.036932,14,74,Media,Validado,20.2,En Proceso
#1067,2026-07-14 09:14:25,Comas Sur,Robo,-11.923003,-77.044415,52,23,Baja,Validado,18.2,Atendido
#1068,2026-07-14 00:05:25,San Agustín,Sospecha,-11.936019,-77.040019,96,76,Media,Validado,6.9,Atendido
#1069,2026-07-14 10:29:25,Comas Norte,Accidente de Tránsito,-11.918021,-77.024231,20,96,Alta,Validado,5.2,Atendido
#1070,2026-07-14 12:28:25,La Balanza,Robo,-11.947591,-77.024022,17,93,Alta,Descartado,0.0,Atendido
#1071,2026-07-13 22:27:25,San Agustín,Accidente de Tránsito,-11.904695,-77.031261,34,95,Alta,Validado,10.5,Atendido
#1072,2026-07-13 20:01:25,La Balanza,Robo,-11.947097,-77.034774,63,98,Alta,Validado,4.1,Atendido
#1073,2026-07-14 16:25:25,Collique,Emergencia Médica,-11.901825,-77.049617,31,92,Alta,Validado,1.3,Pendiente
#1074,2026-07-14 10:31:25,Comas Norte,Robo,-11.930865,-77.049289,59,29,Baja,Validado,3.2,En Proceso
#1075,2026-07-14 12:47:25,La Balanza,Emergencia Médica,-11.920408,-77.014138,44,41,Media,Validado,19.1,Atendido
#1076,2026-07-14 11:27:25,Collique,Emergencia Médica,-11.932072,-77.014759,83,60,Media,Validado,14.3,Pendiente
#1077,2026-07-14 16:45:25,San Agustín,Sospecha,-11.899387,-77.033539,99,89,Alta,Descartado,0.0,Atendido
#1078,2026-07-14 03:50:25,Comas Sur,Accidente de Tránsito,-11.89357,-77.045152,93,98,Alta,Descartado,0.0,Atendido
#1079,2026-07-14 03:03:25,La Balanza,Sospecha,-11.912225,-77.020378,55,64,Media,Validado,10.6,Pendiente
#1080,2026-07-14 19:43:25,La Balanza,Accidente de Tránsito,-11.919914,-77.024703,67,21,Baja,Validado,2.2,Pendiente
#1081,2026-07-13 21:28:25,Comas Sur,Incendio,-11.901997,-77.049175,51,46,Media,Validado,20.3,En Proceso
#1082,2026-07-14 18:27:25,Collique,Accidente de Tránsito,-11.894185,-77.027939,61,31,Baja,Validado,12.1,En Proceso
#1083,2026-07-14 07:42:25,Comas Norte,Accidente de Tránsito,-11.910157,-77.032703,48,52,Media,Validado,6.1,Pendiente
#1084,2026-07-14 08:59:25,La Balanza,Accidente de Tránsito,-11.89811,-77.049764,13,26,Baja,Validado,8.1,En Proceso
#1085,2026-07-13 21:50:25,La Balanza,Emergencia Médica,-11.897021,-77.059919,66,51,Media,Validado,15.1,Atendido
#1086,2026-07-14 05:19:25,Comas Sur,Incendio,-11.910585,-77.036062,100,56,Media,Validado,16.3,Pendiente
#1087,2026-07-14 02:33:25,Comas Sur,Incendio,-11.932042,-77.038788,96,13,Baja,Validado,10.8,En Proceso
#1088,2026-07-14 14:30:25,Collique,Accidente de Tránsito,-11.913754,-77.037948,58,52,Media,Descartado,0.0,Atendido
#1089,2026-07-14 17:24:25,San Agustín,Sospecha,-11.888155,-77.043635,38,91,Alta,Validado,8.4,Pendiente
#1090,2026-07-13 19:53:25,San Agustín,Accidente de Tránsito,-11.889951,-77.051465,99,32,Baja,Validado,23.4,En Proceso
#1091,2026-07-14 19:40:25,Comas Sur,Sospecha,-11.948619,-77.010815,31,28,Baja,Validado,11.7,Atendido
#1092,2026-07-14 02:44:25,San Agustín,Robo,-11.938421,-77.059082,73,27,Baja,Validado,1.6,En Proceso
#1093,2026-07-13 23:21:25,San Agustín,Incendio,-11.940993,-77.028092,77,22,Baja,Validado,13.9,En Proceso
#1094,2026-07-14 09:35:25,Collique,Emergencia Médica,-11.883147,-77.011475,48,26,Baja,Validado,20.7,Pendiente
#1095,2026-07-14 09:27:25,Comas Norte,Emergencia Médica,-11.907629,-77.041663,100,41,Media,Validado,16.7,Atendido
#1096,2026-07-14 16:51:25,La Balanza,Sospecha,-11.89523,-77.018505,31,56,Media,Validado,11.9,Atendido
#1097,2026-07-14 16:43:25,Collique,Emergencia Médica,-11.894492,-77.026664,53,81,Alta,Validado,1.5,En Proceso
#1098,2026-07-14 00:30:25,Comas Sur,Sospecha,-11.931414,-77.042605,66,47,Media,Validado,9.6,En Proceso
#1099,2026-07-14 12:28:25,Collique,Sospecha,-11.90706,-77.023981,84,10,Baja,Validado,7.6,En Proceso
#1100,2026-07-14 02:21:25,Comas Norte,Robo,-11.907288,-77.059514,55,39,Baja,Validado,22.7,En Proceso
#1101,2026-07-14 18:46:25,Comas Sur,Accidente de Tránsito,-11.896432,-77.053585,85,92,Alta,Validado,15.4,Atendido
#1102,2026-07-14 19:39:25,San Agustín,Accidente de Tránsito,-11.913494,-77.029537,16,85,Alta,Validado,1.4,Pendiente
#1103,2026-07-14 13:43:25,Collique,Sospecha,-11.884375,-77.024637,36,83,Alta,Validado,3.0,Pendiente
#1104,2026-07-13 20:28:25,Comas Norte,Sospecha,-11.913174,-77.011928,99,42,Media,Validado,4.2,En Proceso
#1105,2026-07-14 02:33:25,San Agustín,Accidente de Tránsito,-11.92849,-77.03152,61,52,Media,Validado,24.4,En Proceso
#1106,2026-07-14 00:38:25,Comas Norte,Emergencia Médica,-11.89734,-77.058251,44,20,Baja,Validado,20.3,Pendiente
#1107,2026-07-14 11:47:25,San Agustín,Emergencia Médica,-11.929177,-77.043291,98,31,Baja,Validado,13.8,Pendiente
#1108,2026-07-14 18:33:25,Comas Sur,Robo,-11.924466,-77.010023,82,68,Media,Descartado,0.0,Atendido
#1109,2026-07-14 10:34:25,Comas Norte,Emergencia Médica,-11.922311,-77.054822,45,19,Baja,Validado,6.2,Pendiente
#1110,2026-07-14 01:49:25,Comas Sur,Emergencia Médica,-11.892776,-77.025449,17,65,Media,Validado,6.1,Atendido
#1111,2026-07-14 07:02:25,Comas Norte,Sospecha,-11.90725,-77.021254,32,61,Media,Validado,19.5,Atendido
#1112,2026-07-13 23:11:25,Comas Norte,Robo,-11.938608,-77.01363,10,28,Baja,Descartado,0.0,Atendido
#1113,2026-07-14 13:11:25,San Agustín,Emergencia Médica,-11.894793,-77.038708,38,37,Baja,Descartado,0.0,Atendido
#1114,2026-07-13 21:56:25,Comas Norte,Emergencia Médica,-11.89908,-77.033459,96,32,Baja,Validado,22.4,En Proceso
#1115,2026-07-14 07:19:25,Comas Sur,Emergencia Médica,-11.913209,-77.010513,43,23,Baja,Validado,12.7,Atendido
#1116,2026-07-14 05:22:25,San Agustín,Sospecha,-11.910741,-77.010864,14,96,Alta,Validado,12.5,Atendido
#1117,2026-07-13 20:36:25,Comas Sur,Incendio,-11.880027,-77.019254,82,79,Media,Validado,14.0,En Proceso
#1118,2026-07-14 08:24:25,Collique,Robo,-11.9378,-77.03666,15,12,Baja,Validado,8.4,En Proceso
#1119,2026-07-13 20:56:25,La Balanza,Emergencia Médica,-11.883668,-77.016156,94,87,Alta,Validado,23.3,En Proceso
#1120,2026-07-14 11:34:25,Comas Sur,Robo,-11.914117,-77.051009,22,36,Baja,Descartado,0.0,Atendido
#1121,2026-07-14 14:38:25,La Balanza,Accidente de Tránsito,-11.94787,-77.020777,78,80,Alta,Validado,24.9,Atendido
#1122,2026-07-14 18:40:25,San Agustín,Incendio,-11.948536,-77.049115,82,45,Media,Descartado,0.0,Atendido
#1123,2026-07-14 05:49:25,Comas Sur,Robo,-11.908176,-77.01677,46,69,Media,Descartado,0.0,Atendido
#1124,2026-07-14 16:51:25,Comas Sur,Sospecha,-11.924313,-77.037448,85,61,Media,Validado,2.4,Atendido
#1125,2026-07-14 09:13:25,Collique,Robo,-11.924707,-77.032583,98,61,Media,Validado,23.3,Atendido
#1126,2026-07-14 06:09:25,San Agustín,Emergencia Médica,-11.902133,-77.017406,83,24,Baja,Validado,18.3,Pendiente
#1127,2026-07-13 21:12:25,Collique,Accidente de Tránsito,-11.923642,-77.015061,58,44,Media,Validado,21.6,Atendido
#1128,2026-07-14 07:25:25,San Agustín,Incendio,-11.942058,-77.021237,38,67,Media,Validado,1.2,Atendido
#1129,2026-07-14 19:36:25,Comas Sur,Incendio,-11.938076,-77.031476,68,27,Baja,Validado,13.2,Atendido
#1130,2026-07-14 07:36:25,San Agustín,Incendio,-11.91792,-77.042995,94,58,Media,Validado,15.1,Atendido
#1131,2026-07-13 20:24:25,Comas Norte,Incendio,-11.934848,-77.030161,35,72,Media,Validado,3.4,Atendido
#1132,2026-07-14 12:37:25,La Balanza,Emergencia Médica,-11.917238,-77.052149,16,48,Media,Descartado,0.0,Atendido
#1133,2026-07-14 02:32:25,Comas Sur,Incendio,-11.947446,-77.032909,51,79,Media,Validado,2.0,En Proceso
#1134,2026-07-14 16:40:25,Comas Norte,Sospecha,-11.927306,-77.036088,89,68,Media,Validado,1.2,Atendido
#1135,2026-07-13 22:30:25,Comas Norte,Accidente de Tránsito,-11.934856,-77.02545,10,33,Baja,Validado,16.3,En Proceso
#1136,2026-07-14 15:28:25,Collique,Emergencia Médica,-11.932881,-77.0119,23,54,Media,Validado,21.9,Atendido
#1137,2026-07-14 06:06:25,Comas Norte,Sospecha,-11.946908,-77.011325,44,14,Baja,Validado,6.4,En Proceso
#1138,2026-07-14 15:02:25,Collique,Robo,-11.934147,-77.017038,100,48,Media,Validado,7.1,Atendido
#1139,2026-07-14 04:59:25,La Balanza,Accidente de Tránsito,-11.909776,-77.012287,69,20,Baja,Validado,12.4,En Proceso
#1140,2026-07-14 10:51:25,Comas Norte,Incendio,-11.934084,-77.043822,79,55,Media,Validado,7.3,Atendido
#1141,2026-07-14 17:28:25,Collique,Robo,-11.895957,-77.038981,38,34,Baja,Validado,16.2,Pendiente
#1142,2026-07-14 06:22:25,Comas Sur,Incendio,-11.931611,-77.017376,15,83,Alta,Descartado,0.0,Atendido
#1143,2026-07-14 08:42:25,Comas Norte,Emergencia Médica,-11.933591,-77.052478,98,33,Baja,Validado,10.2,Pendiente
#1144,2026-07-14 04:30:25,Comas Sur,Accidente de Tránsito,-11.944944,-77.041131,78,81,Alta,Validado,17.3,En Proceso
#1145,2026-07-14 18:57:25,La Balanza,Sospecha,-11.930262,-77.018286,33,91,Alta,Validado,8.8,Atendido
#1146,2026-07-13 19:58:25,La Balanza,Robo,-11.944566,-77.047937,64,38,Baja,Validado,22.9,Atendido
#1147,2026-07-14 09:10:25,La Balanza,Incendio,-11.920764,-77.049487,73,46,Media,Validado,5.2,Pendiente
#1148,2026-07-13 22:33:25,Comas Norte,Accidente de Tránsito,-11.917725,-77.040915,96,79,Media,Validado,24.1,Atendido
#1149,2026-07-13 20:11:25,Comas Norte,Robo,-11.882363,-77.051311,82,35,Baja,Validado,23.5,Atendido
#1150,2026-07-14 06:19:25,La Balanza,Robo,-11.932191,-77.049502,65,62,Media,Validado,1.6,Atendido
#1151,2026-07-13 19:56:25,Comas Sur,Emergencia Médica,-11.903834,-77.057465,59,39,Baja,Validado,21.7,En Proceso
#1152,2026-07-14 03:30:25,Collique,Accidente de Tránsito,-11.924486,-77.058724,49,10,Baja,Validado,8.7,Atendido
#1153,2026-07-13 22:41:25,La Balanza,Sospecha,-11.941989,-77.043462,84,69,Media,Validado,2.8,Pendiente
#1154,2026-07-14 10:11:25,Comas Norte,Robo,-11.896728,-77.042478,100,45,Media,Validado,1.3,En Proceso
#1155,2026-07-14 13:49:25,San Agustín,Robo,-11.880999,-77.017934,99,58,Media,Validado,7.4,En Proceso
#1156,2026-07-14 19:22:25,La Balanza,Incendio,-11.920634,-77.02213,10,66,Media,Descartado,0.0,Atendido
#1157,2026-07-14 14:37:25,San Agustín,Sospecha,-11.929621,-77.035022,24,22,Baja,Descartado,0.0,Atendido
#1158,2026-07-14 16:47:25,Comas Norte,Sospecha,-11.897261,-77.033453,65,39,Baja,Validado,13.1,Pendiente
#1159,2026-07-14 02:34:25,Collique,Emergencia Médica,-11.925461,-77.021773,53,55,Media,Validado,17.4,Atendido
#1160,2026-07-14 05:28:25,Comas Sur,Accidente de Tránsito,-11.901587,-77.040689,32,50,Media,Validado,10.2,En Proceso
#1161,2026-07-14 19:30:25,San Agustín,Robo,-11.906125,-77.036085,38,90,Alta,Validado,22.3,Atendido
#1162,2026-07-14 09:20:25,Comas Norte,Sospecha,-11.88025,-77.027209,90,62,Media,Descartado,0.0,Atendido
#1163,2026-07-13 20:48:25,Comas Sur,Incendio,-11.94838,-77.029223,59,51,Media,Validado,12.0,Pendiente
#1164,2026-07-14 17:42:25,San Agustín,Incendio,-11.942827,-77.043622,61,66,Media,Validado,25.0,Atendido
#1165,2026-07-14 18:23:25,Comas Norte,Robo,-11.924808,-77.011485,52,73,Media,Validado,21.7,Pendiente
#1166,2026-07-14 03:26:25,Collique,Emergencia Médica,-11.920957,-77.055043,71,14,Baja,Validado,5.3,Atendido
#1167,2026-07-14 05:58:25,Collique,Incendio,-11.887316,-77.037752,73,57,Media,Validado,24.5,Pendiente
#1168,2026-07-14 04:55:25,San Agustín,Sospecha,-11.912647,-77.020551,84,11,Baja,Validado,18.9,En Proceso
#1169,2026-07-14 00:58:25,La Balanza,Sospecha,-11.916973,-77.049393,57,99,Alta,Validado,1.6,Atendido
#1170,2026-07-14 19:23:25,La Balanza,Accidente de Tránsito,-11.93445,-77.023774,33,54,Media,Validado,4.1,Pendiente
#1171,2026-07-14 16:55:25,Collique,Incendio,-11.909327,-77.039087,47,77,Media,Validado,15.2,Atendido
#1172,2026-07-14 13:01:25,La Balanza,Sospecha,-11.888006,-77.059432,94,38,Baja,Validado,2.2,En Proceso
#1173,2026-07-14 04:03:25,Comas Sur,Accidente de Tránsito,-11.90876,-77.037905,23,84,Alta,Validado,19.9,Atendido
#1174,2026-07-14 02:09:25,Collique,Sospecha,-11.928175,-77.050707,46,21,Baja,Validado,24.8,Atendido
#1175,2026-07-14 07:06:25,La Balanza,Incendio,-11.947481,-77.035352,46,11,Baja,Validado,16.6,Pendiente
#1176,2026-07-14 07:02:25,Comas Norte,Robo,-11.919625,-77.02779,30,93,Alta,Validado,23.0,Pendiente
#1177,2026-07-13 20:27:25,Comas Sur,Accidente de Tránsito,-11.93981,-77.02856,93,72,Media,Validado,9.2,Atendido
#1178,2026-07-14 15:09:25,La Balanza,Sospecha,-11.922066,-77.020684,71,51,Media,Validado,11.7,En Proceso
#1179,2026-07-13 20:05:25,La Balanza,Incendio,-11.901552,-77.019277,67,22,Baja,Validado,24.2,Pendiente
#1180,2026-07-14 04:12:25,La Balanza,Incendio,-11.914216,-77.055143,66,21,Baja,Validado,15.0,Pendiente
#1181,2026-07-14 11:14:25,Collique,Sospecha,-11.88795,-77.057254,89,43,Media,Validado,6.2,Atendido
#1182,2026-07-14 04:53:25,Comas Norte,Incendio,-11.922482,-77.051318,90,73,Media,Validado,23.1,En Proceso
#1183,2026-07-14 16:48:25,La Balanza,Incendio,-11.890932,-77.013923,99,91,Alta,Validado,12.1,Pendiente
#1184,2026-07-14 18:36:25,La Balanza,Emergencia Médica,-11.905972,-77.011712,29,73,Media,Validado,9.2,Pendiente
#1185,2026-07-14 11:18:25,Comas Norte,Accidente de Tránsito,-11.885242,-77.055231,89,34,Baja,Validado,13.2,Pendiente
#1186,2026-07-14 12:37:25,Collique,Incendio,-11.925504,-77.040651,85,66,Media,Validado,11.7,Atendido
#1187,2026-07-14 02:22:25,Comas Norte,Accidente de Tránsito,-11.927505,-77.014086,15,93,Alta,Validado,21.9,En Proceso
#1188,2026-07-14 10:34:25,Comas Sur,Robo,-11.912424,-77.04115,66,93,Alta,Validado,23.3,Atendido
#1189,2026-07-14 09:08:25,Collique,Accidente de Tránsito,-11.917251,-77.029099,33,73,Media,Validado,24.4,En Proceso
#1190,2026-07-14 01:29:25,La Balanza,Incendio,-11.926986,-77.013683,65,97,Alta,Validado,19.1,En Proceso
#1191,2026-07-14 11:01:25,San Agustín,Emergencia Médica,-11.880038,-77.03118,10,24,Baja,Validado,1.4,En Proceso
#1192,2026-07-14 00:55:25,San Agustín,Incendio,-11.903457,-77.036409,71,47,Media,Validado,4.2,En Proceso
#1193,2026-07-14 09:28:25,Comas Norte,Incendio,-11.909831,-77.046348,83,73,Media,Validado,5.6,En Proceso
#1194,2026-07-14 18:38:25,Collique,Robo,-11.919252,-77.052864,21,17,Baja,Validado,14.6,En Proceso
#1195,2026-07-13 21:10:25,Comas Sur,Emergencia Médica,-11.943784,-77.051858,39,59,Media,Validado,1.0,Atendido
#1196,2026-07-13 21:31:25,Comas Norte,Accidente de Tránsito,-11.901037,-77.010133,19,50,Media,Validado,15.0,Pendiente
#1197,2026-07-14 11:45:25,Collique,Incendio,-11.912887,-77.011943,22,22,Baja,Validado,22.1,Atendido
#1198,2026-07-13 21:02:25,Comas Sur,Incendio,-11.924442,-77.015404,23,93,Alta,Descartado,0.0,Atendido
#1199,2026-07-13 20:18:25,La Balanza,Incendio,-11.93556,-77.045172,90,48,Media,Validado,9.4,Pendiente
#1200,2026-07-14 01:54:25,Comas Sur,Robo,-11.888223,-77.059569,10,33,Baja,Validado,22.3,Pendiente
#1201,2026-07-14 05:33:25,Collique,Robo,-11.946835,-77.041367,28,35,Baja,Validado,14.3,Atendido
#1202,2026-07-14 15:07:25,La Balanza,Accidente de Tránsito,-11.907309,-77.033314,53,56,Media,Descartado,0.0,Atendido
#1203,2026-07-13 22:17:25,Collique,Accidente de Tránsito,-11.905697,-77.043655,78,84,Alta,Validado,1.4,Pendiente
#1204,2026-07-14 01:25:25,La Balanza,Incendio,-11.939945,-77.030178,100,92,Alta,Validado,21.7,En Proceso
#1205,2026-07-14 09:57:25,La Balanza,Sospecha,-11.903084,-77.035221,62,14,Baja,Descartado,0.0,Atendido
#1206,2026-07-14 18:37:25,La Balanza,Robo,-11.943974,-77.059668,29,11,Baja,Validado,14.8,Pendiente
#1207,2026-07-14 06:32:25,San Agustín,Sospecha,-11.897393,-77.046628,68,47,Media,Validado,11.7,Atendido
#1208,2026-07-13 23:34:25,Comas Sur,Incendio,-11.928755,-77.013711,55,15,Baja,Validado,19.1,Atendido
#1209,2026-07-14 10:50:25,Collique,Robo,-11.913539,-77.029861,59,10,Baja,Descartado,0.0,Atendido
#1210,2026-07-14 14:09:25,San Agustín,Robo,-11.89421,-77.015138,82,70,Media,Validado,19.4,En Proceso
#1211,2026-07-13 22:18:25,Comas Sur,Accidente de Tránsito,-11.924025,-77.025057,32,17,Baja,Validado,4.4,En Proceso
#1212,2026-07-14 03:58:25,Collique,Emergencia Médica,-11.92005,-77.016409,15,41,Media,Validado,4.6,En Proceso
#1213,2026-07-13 21:02:25,Collique,Robo,-11.937284,-77.029473,50,41,Media,Validado,10.7,Atendido
#1214,2026-07-14 09:36:25,La Balanza,Incendio,-11.900507,-77.016286,81,47,Media,Validado,11.7,Atendido
#1215,2026-07-14 01:59:25,Collique,Incendio,-11.89088,-77.041595,20,17,Baja,Validado,4.7,En Proceso
#1216,2026-07-14 18:19:25,Comas Norte,Sospecha,-11.917241,-77.039217,81,95,Alta,Validado,6.6,Pendiente
#1217,2026-07-14 15:32:25,Comas Sur,Sospecha,-11.946111,-77.047988,54,68,Media,Descartado,0.0,Atendido
#1218,2026-07-14 01:56:25,Comas Norte,Robo,-11.907694,-77.03601,18,81,Alta,Validado,17.6,Pendiente
